date;co2;relative_temp
6/01/1982;340.96;0.09
6/02/1982;341.73;0.14
6/03/1982;342.81;-0.01
6/04/1982;343.97;0.1
6/05/1982;344.63;0.16
6/06/1982;343.79;0.05
6/07/1982;342.32;0.13
6/08/1982;340.09;0.08
6/09/1982;338.28;0.15
6/10/1982;338.29;0.13
6/11/1982;339.6;0.14
6/12/1982;340.9;0.43
6/01/1983;341.68;0.52
6/02/1983;342.9;0.4
6/03/1983;343.33;0.42
6/04/1983;345.25;0.3
6/05/1983;346.03;0.35
6/06/1983;345.63;0.18
6/07/1983;344.19;0.15
6/08/1983;342.27;0.3
6/09/1983;340.35;0.38
6/10/1983;340.38;0.15
6/11/1983;341.59;0.3
6/12/1983;343.05;0.17
6/01/1984;344.1;0.3
6/02/1984;344.79;0.17
6/03/1984;345.52;0.29
6/04/1984;346.8;0.08
6/05/1984;347.63;0.33
6/06/1984;346.97;0.04
6/07/1984;345.53;0.16
6/08/1984;343.55;0.15
6/09/1984;341.4;0.2
6/10/1984;341.67;0.15
6/11/1984;343.1;0.04
6/12/1984;344.7;-0.06
6/01/1985;345.21;0.21
6/02/1985;346.16;-0.06
6/03/1985;347.74;0.17
6/04/1985;348.34;0.11
6/05/1985;349.06;0.17
6/06/1985;348.38;0.17
6/07/1985;346.71;0
6/08/1985;345.02;0.15
6/09/1985;343.27;0.14
6/10/1985;343.13;0.11
6/11/1985;344.49;0.09
6/12/1985;345.88;0.15
6/01/1986;346.56;0.3
6/02/1986;347.28;0.39
6/03/1986;348.01;0.29
6/04/1986;349.77;0.26
6/05/1986;350.38;0.26
6/06/1986;349.93;0.12
6/07/1986;348.16;0.13
6/08/1986;346.08;0.12
6/09/1986;345.22;0.02
6/10/1986;344.51;0.14
6/11/1986;345.93;0.11
6/12/1986;347.22;0.16
6/01/1987;348.52;0.36
6/02/1987;348.73;0.46
6/03/1987;349.73;0.17
6/04/1987;351.31;0.24
6/05/1987;352.09;0.26
6/06/1987;351.53;0.36
6/07/1987;350.11;0.46
6/08/1987;348.08;0.28
6/09/1987;346.52;0.39
6/10/1987;346.59;0.32
6/11/1987;347.96;0.25
6/12/1987;349.16;0.47
6/01/1988;350.39;0.57
6/02/1988;351.64;0.42
6/03/1988;352.41;0.49
6/04/1988;353.69;0.45
6/05/1988;354.21;0.44
6/06/1988;353.72;0.42
6/07/1988;352.69;0.35
6/08/1988;350.4;0.46
6/09/1988;348.92;0.42
6/10/1988;349.13;0.4
6/11/1988;350.2;0.13
6/12/1988;351.41;0.34
6/01/1989;352.91;0.16
6/02/1989;353.27;0.35
6/03/1989;353.96;0.36
6/04/1989;355.64;0.33
6/05/1989;355.86;0.17
6/06/1989;355.37;0.15
6/07/1989;353.99;0.34
6/08/1989;351.81;0.36
6/09/1989;350.05;0.37
6/10/1989;350.25;0.32
6/11/1989;351.49;0.21
6/12/1989;352.85;0.37
6/01/1990;353.8;0.41
6/02/1990;355.04;0.41
6/03/1990;355.73;0.76
6/04/1990;356.32;0.55
6/05/1990;357.32;0.46
6/06/1990;356.34;0.38
6/07/1990;354.84;0.44
6/08/1990;353.01;0.3
6/09/1990;351.31;0.3
6/10/1990;351.62;0.43
6/11/1990;353.07;0.46
6/12/1990;354.33;0.42
6/01/1991;354.84;0.42
6/02/1991;355.73;0.51
6/03/1991;357.23;0.36
6/04/1991;358.66;0.53
6/05/1991;359.13;0.39
6/06/1991;358.13;0.54
6/07/1991;356.19;0.51
6/08/1991;353.85;0.42
6/09/1991;352.25;0.5
6/10/1991;352.35;0.32
6/11/1991;353.81;0.31
6/12/1991;355.12;0.33
6/01/1992;356.25;0.45
6/02/1992;357.11;0.42
6/03/1992;357.86;0.47
6/04/1992;359.09;0.24
6/05/1992;359.59;0.32
6/06/1992;359.33;0.24
6/07/1992;357.01;0.13
6/08/1992;354.94;0.1
6/09/1992;352.96;0.01
6/10/1992;353.32;0.11
6/11/1992;354.32;0.04
6/12/1992;355.57;0.22
6/01/1993;357;0.37
6/02/1993;357.31;0.39
6/03/1993;358.47;0.36
6/04/1993;359.27;0.28
6/05/1993;360.19;0.26
6/06/1993;359.52;0.24
6/07/1993;357.33;0.28
6/08/1993;355.64;0.13
6/09/1993;354.03;0.11
6/10/1993;354.12;0.24
6/11/1993;355.41;0.07
6/12/1993;356.91;0.19
6/01/1994;358.24;0.3
6/02/1994;358.92;0.04
6/03/1994;359.99;0.26
6/04/1994;361.23;0.41
6/05/1994;361.65;0.29
6/06/1994;360.81;0.42
6/07/1994;359.38;0.32
6/08/1994;357.46;0.23
6/09/1994;355.73;0.32
6/10/1994;356.07;0.42
6/11/1994;357.53;0.46
6/12/1994;358.98;0.36
6/01/1995;359.92;0.5
6/02/1995;360.86;0.77
6/03/1995;361.83;0.45
6/04/1995;363.3;0.47
6/05/1995;363.69;0.29
6/06/1995;363.19;0.45
6/07/1995;361.64;0.49
6/08/1995;359.12;0.48
6/09/1995;358.17;0.34
6/10/1995;357.99;0.49
6/11/1995;359.45;0.45
6/12/1995;360.68;0.3
6/01/1996;362.07;0.27
6/02/1996;363.24;0.5
6/03/1996;364.17;0.34
6/04/1996;364.57;0.38
6/05/1996;365.13;0.3
6/06/1996;364.92;0.27
6/07/1996;363.55;0.37
6/08/1996;361.38;0.49
6/09/1996;359.54;0.27
6/10/1996;359.58;0.2
6/11/1996;360.89;0.42
6/12/1996;362.24;0.41
6/01/1997;363.09;0.33
6/02/1997;364.03;0.37
6/03/1997;364.51;0.52
6/04/1997;366.35;0.38
6/05/1997;366.64;0.39
6/06/1997;365.59;0.55
6/07/1997;364.31;0.35
6/08/1997;362.25;0.43
6/09/1997;360.29;0.56
6/10/1997;360.82;0.64
6/11/1997;362.49;0.66
6/12/1997;364.38;0.6
6/01/1998;365.26;0.61
6/02/1998;365.98;0.9
6/03/1998;367.24;0.63
6/04/1998;368.66;0.64
6/05/1998;369.42;0.71
6/06/1998;368.99;0.78
6/07/1998;367.82;0.71
6/08/1998;365.95;0.68
6/09/1998;364.02;0.45
6/10/1998;364.4;0.47
6/11/1998;365.52;0.5
6/12/1998;367.13;0.56
6/01/1999;368.18;0.48
6/02/1999;369.07;0.66
6/03/1999;369.68;0.34
6/04/1999;370.99;0.34
6/05/1999;370.96;0.33
6/06/1999;370.3;0.37
6/07/1999;369.45;0.41
6/08/1999;366.9;0.34
6/09/1999;364.81;0.43
6/10/1999;365.37;0.43
6/11/1999;366.72;0.42
6/12/1999;368.1;0.46
6/01/2000;369.29;0.26
6/02/2000;369.54;0.58
6/03/2000;370.6;0.6
6/04/2000;371.81;0.59
6/05/2000;371.58;0.4
6/06/2000;371.7;0.44
6/07/2000;369.86;0.42
6/08/2000;368.13;0.43
6/09/2000;367;0.42
6/10/2000;367.03;0.3
6/11/2000;368.37;0.34
6/12/2000;369.67;0.3
6/01/2001;370.59;0.44
6/02/2001;371.51;0.46
6/03/2001;372.43;0.58
6/04/2001;373.37;0.52
6/05/2001;373.85;0.59
6/06/2001;373.21;0.55
6/07/2001;371.51;0.61
6/08/2001;369.61;0.49
6/09/2001;368.18;0.56
6/10/2001;368.45;0.52
6/11/2001;369.76;0.7
6/12/2001;371.24;0.55
6/01/2002;372.53;0.75
6/02/2002;373.2;0.76
6/03/2002;374.12;0.91
6/04/2002;375.02;0.58
6/05/2002;375.76;0.65
6/06/2002;375.52;0.54
6/07/2002;374.01;0.62
6/08/2002;371.85;0.55
6/09/2002;370.75;0.65
6/10/2002;370.55;0.57
6/11/2002;372.25;0.59
6/12/2002;373.79;0.43
6/01/2003;374.88;0.73
6/02/2003;375.64;0.55
6/03/2003;376.45;0.57
6/04/2003;377.73;0.55
6/05/2003;378.6;0.62
6/06/2003;378.28;0.49
6/07/2003;376.7;0.55
6/08/2003;374.38;0.66
6/09/2003;373.17;0.66
6/10/2003;373.14;0.75
6/11/2003;374.66;0.55
6/12/2003;375.99;0.75
6/01/2004;377;0.59
6/02/2004;377.87;0.71
6/03/2004;378.88;0.64
6/04/2004;380.35;0.62
6/05/2004;380.62;0.42
6/06/2004;379.69;0.43
6/07/2004;377.47;0.26
6/08/2004;376.01;0.45
6/09/2004;374.25;0.53
6/10/2004;374.46;0.66
6/11/2004;376.16;0.72
6/12/2004;377.51;0.52
6/01/2005;378.46;0.72
6/02/2005;379.73;0.58
6/03/2005;380.77;0.69
6/04/2005;382.29;0.69
6/05/2005;382.45;0.65
6/06/2005;382.21;0.67
6/07/2005;380.74;0.66
6/08/2005;378.74;0.63
6/09/2005;376.7;0.78
6/10/2005;377;0.8
6/11/2005;378.35;0.76
6/12/2005;380.11;0.68
6/01/2006;381.38;0.57
6/02/2006;382.19;0.7
6/03/2006;382.67;0.63
6/04/2006;384.61;0.5
6/05/2006;385.03;0.47
6/06/2006;384.05;0.64
6/07/2006;382.46;0.54
6/08/2006;380.41;0.72
6/09/2006;378.85;0.64
6/10/2006;379.13;0.69
6/11/2006;380.15;0.72
6/12/2006;381.82;0.77
6/01/2007;382.89;0.96
6/02/2007;383.9;0.7
6/03/2007;384.58;0.7
6/04/2007;386.5;0.76
6/05/2007;386.56;0.67
6/06/2007;386.1;0.58
6/07/2007;384.5;0.62
6/08/2007;381.99;0.6
6/09/2007;380.96;0.64
6/10/2007;381.12;0.6
6/11/2007;382.45;0.57
6/12/2007;383.95;0.5
6/01/2008;385.52;0.24
6/02/2008;385.82;0.36
6/03/2008;386.03;0.73
6/04/2008;387.21;0.53
6/05/2008;388.54;0.51
6/06/2008;387.76;0.48
6/07/2008;386.36;0.6
6/08/2008;384.09;0.44
6/09/2008;383.18;0.65
6/10/2008;382.99;0.67
6/11/2008;384.19;0.66
6/12/2008;385.56;0.54
6/01/2009;386.94;0.62
6/02/2009;387.48;0.53
6/03/2009;388.82;0.53
6/04/2009;389.55;0.61
6/05/2009;390.14;0.65
6/06/2009;389.48;0.65
6/07/2009;388.03;0.72
6/08/2009;386.11;0.66
6/09/2009;384.74;0.7
6/10/2009;384.43;0.64
6/11/2009;386.02;0.77
6/12/2009;387.42;0.65
6/01/2010;388.71;0.73
6/02/2010;390.2;0.78
6/03/2010;391.17;0.92
6/04/2010;392.46;0.87
6/05/2010;393;0.75
6/06/2010;392.15;0.64
6/07/2010;390.2;0.62
6/08/2010;388.35;0.65
6/09/2010;386.85;0.61
6/10/2010;387.24;0.71
6/11/2010;388.67;0.79
6/12/2010;389.79;0.49
6/01/2011;391.33;0.51
6/02/2011;391.86;0.53
6/03/2011;392.6;0.64
6/04/2011;393.25;0.65
6/05/2011;394.19;0.53
6/06/2011;393.73;0.59
6/07/2011;392.51;0.73
6/08/2011;390.13;0.73
6/09/2011;389.08;0.56
6/10/2011;389;0.66
6/11/2011;390.28;0.56
6/12/2011;391.86;0.54
6/01/2012;393.12;0.46
6/02/2012;393.86;0.49
6/03/2012;394.4;0.58
6/04/2012;396.18;0.69
6/05/2012;396.74;0.76
6/06/2012;395.71;0.62
6/07/2012;394.36;0.57
6/08/2012;392.39;0.63
6/09/2012;391.11;0.76
6/10/2012;391.05;0.78
6/11/2012;392.98;0.75
6/12/2012;394.34;0.53
6/01/2013;395.55;0.68
6/02/2013;396.8;0.55
6/03/2013;397.43;0.66
6/04/2013;398.41;0.52
6/05/2013;399.78;0.61
6/06/2013;398.61;0.65
6/07/2013;397.32;0.59
6/08/2013;395.2;0.66
6/09/2013;393.45;0.78
6/10/2013;393.7;0.69
6/11/2013;395.16;0.81
6/12/2013;396.84;0.67
6/01/2014;397.85;0.73
6/02/2014;398.01;0.51
6/03/2014;399.77;0.77
6/04/2014;401.38;0.78
6/05/2014;401.78;0.87
6/06/2014;401.25;0.66
6/07/2014;399.1;0.57
6/08/2014;397.03;0.82
6/09/2014;395.38;0.9
6/10/2014;396.03;0.85
6/11/2014;397.28;0.67
6/12/2014;398.91;0.79
6/01/2015;399.98;0.81
6/02/2015;400.28;0.86
6/03/2015;401.54;0.9
6/04/2015;403.28;0.74
6/05/2015;403.96;0.78
6/06/2015;402.8;0.78
6/07/2015;401.31;0.71
6/08/2015;398.93;0.78
6/09/2015;397.63;0.81
6/10/2015;398.29;1.06
6/11/2015;400.16;1.04
6/12/2015;401.85;1.11
6/01/2016;402.56;1.17
6/02/2016;404.12;1.35
6/03/2016;404.87;1.3
6/04/2016;407.45;1.09
6/05/2016;407.72;0.93
6/06/2016;406.83;0.76
6/07/2016;404.41;0.83
6/08/2016;402.27;0.98
6/09/2016;401.05;0.87
6/10/2016;401.59;0.89
6/11/2016;403.55;0.93
6/12/2016;404.45;0.81
